feature,importance,rank
HH_L0.1_covariance,0.054381367194687155,1
HH_jit_L0.1_mean,0.053867225715052515,2
HH_L0.1_magnitude,0.053672843648433624,3
MI_dir_L0.1_mean,0.053213361639515275,4
HH_L0.1_radius,0.053174675713817364,5
HpHp_L0.1_covariance,0.05281776903848315,6
HpHp_L0.1_weight,0.052814726117889954,7
HH_L0.1_pcc,0.052779380440784916,8
HH_L0.1_weight,0.05265565560634922,9
HH_jit_L0.1_variance,0.0525466929270892,10
HpHp_L0.1_magnitude,0.05244274088754051,11
HpHp_L0.1_std,0.052178512653921996,12
HpHp_L0.1_radius,0.052135479746490125,13
MI_dir_L0.1_variance,0.05196292344584192,14
HH_L0.1_mean,0.05194501597096777,15
HH_L0.1_std,0.05193014288962574,16
MI_dir_L0.1_weight,0.05189490487564693,17
HpHp_L0.1_mean,0.05188278684492681,18
HpHp_L0.1_pcc,0.05170379464293589,19
